tweet_id,label,tweet
1,1,Just spilled coffee all over my laptop. Happy Monday to me! :rolling_on_the_floor_laughing:
2,1,"Oh, fantastic! My favorite show just got canceled. Because who needs closure anyway? #sarcasm"
3,1,Spent all day in traffic. Love it. #TrafficJam #BestDayEver
4,0,Why does my alarm go off so early? I love waking up before the sun. :unamused_face:
5,1,Nothing like a flat tire on a rainy day. Perfect start to the weekend. #Not
6,0,Can't wait for another meeting that could have been an email. #CorporateLife
7,1,"Oh great, my favorite team lost again. Just what I needed. #SportsFan"
8,1,Love it when autocorrect changes my message to something completely different. #Not
9,0,Who needs sleep anyway? Staying up all night is the best. :sleeping_face:
10,1,Just missed my train. Perfect timing as always. #Sarcasm
11,0,Spent an hour looking for my keys. They were in my hand the whole time. #Facepalm
12,1,"Oh, joy! Another Monday. Can't contain my excitement. #MondayMotivation"
13,1,Love it when my computer crashes right before a deadline. #PerfectTiming
14,0,Getting a flat tire in the pouring rain is the highlight of my day. #Sarcasm
15,0,"Spent hours on a project, only to realize I used the wrong data. #EpicFail"
16,1,"Wonderful, my favorite song is stuck in my head again. #Sarcasm"
17,0,Just received a spam call during an important meeting. #PerfectTiming
18,1,"Nothing like a surprise pop quiz. Thanks, professor! #Sarcasm"
19,1,"Lost my wallet. Fantastic day, isn't it? #Sarcasm"
20,1,"Great, my phone died in the middle of an important call. #PerfectTiming"
21,0,Who needs a good night's sleep anyway? #Insomnia
22,1,Just what I needed – another parking ticket. #Sarcasm
23,0,Forgot my umbrella on a rainy day. Perfect. #SoggyCommute
24,1,Stuck in the longest line at the grocery store. Joyous occasion! #Sarcasm
25,1,Accidentally liked my crush's photo from 3 years ago. Smooth move. #Sarcasm
26,0,"Spent hours cooking a gourmet meal, and I burnt it. #ChefSkills"
27,0,Just got a paper cut. Highlight of my day. #Ouch
28,1,"Oh, fantastic! My internet went out right in the middle of binge-watching. #PerfectTiming"
29,0,Who needs a fully charged phone anyway? Mine dies at the most convenient times. #LowBattery
30,1,Locked myself out of my car in the pouring rain. What luck! #Sarcasm
31,1,Nothing like a surprise visit from the in-laws. Just what I needed. #Sarcasm
32,0,Spilled coffee on my white shirt. Great way to start the day! #CoffeeDisaster
33,0,"Accidentally sent a text to the wrong person. Smooth move, genius. #TextFail"
34,1,"Just realized I left my lunch at home. Awesome, I love a hungry afternoon. #Sarcasm"
35,1,Nothing like a flat tire on a road trip. Adventure time! #Sarcasm
36,1,Love it when my computer freezes right before saving a document. #PerfectTiming
37,0,Got caught in the rain without an umbrella. Soaked to the bone. #SoggyDay
38,0,Who needs a functioning alarm clock anyway? Overslept again. #LateStart
